item_id,context,question_text,response_text,gold_clarity,gold_label,source,split
1,,Will you support the proposal?,"Yes, I will support the proposal.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
2,,Will you raise the tax rate next year?,"No, I will not raise the tax rate next year.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
3,,Did you vote for the bill?,"Yes, I voted for the bill.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
4,,Will the program be cut?,"No, the program will not be cut under this plan.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
5,During a press briefing.,Will you support the proposal?,"Yes, I will support the proposal.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
6,During a press briefing.,Will you raise the tax rate next year?,"No, I will not raise the tax rate next year.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
7,During a press briefing.,Did you vote for the bill?,"Yes, I voted for the bill.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
8,During a press briefing.,Will the program be cut?,"No, the program will not be cut under this plan.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
9,During a committee hearing.,Will you support the proposal?,"Yes, I will support the proposal.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
10,During a committee hearing.,Will you raise the tax rate next year?,"No, I will not raise the tax rate next year.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
11,During a committee hearing.,Did you vote for the bill?,"Yes, I voted for the bill.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
12,During a committee hearing.,Will the program be cut?,"No, the program will not be cut under this plan.",CLEAR_REPLY,DIRECT_REPLY,synthetic-controlled,test
13,,How much will the policy cost?,"The first-year cost is expected to be lower than the current program, but I cannot give the final total yet.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
14,,Will you support every section of the bill?,"I support the funding section, but I have not decided on the remaining sections.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
15,,When will the project finish?,Construction should begin this year; the final completion date is still under review.,PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
16,,Did the reform reduce costs?,"It reduced administrative costs, although we do not yet have the full system-wide figure.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
17,During a press briefing.,How much will the policy cost?,"The first-year cost is expected to be lower than the current program, but I cannot give the final total yet.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
18,During a press briefing.,Will you support every section of the bill?,"I support the funding section, but I have not decided on the remaining sections.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
19,During a press briefing.,When will the project finish?,Construction should begin this year; the final completion date is still under review.,PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
20,During a press briefing.,Did the reform reduce costs?,"It reduced administrative costs, although we do not yet have the full system-wide figure.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
21,During a committee hearing.,How much will the policy cost?,"The first-year cost is expected to be lower than the current program, but I cannot give the final total yet.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
22,During a committee hearing.,Will you support every section of the bill?,"I support the funding section, but I have not decided on the remaining sections.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
23,During a committee hearing.,When will the project finish?,Construction should begin this year; the final completion date is still under review.,PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
24,During a committee hearing.,Did the reform reduce costs?,"It reduced administrative costs, although we do not yet have the full system-wide figure.",PARTIAL_OR_UNCLEAR,PARTIAL_REPLY,synthetic-controlled,test
25,,Will you raise taxes next year?,What matters is that families deserve a stronger economy.,NON_REPLY,DODGES_QUESTION,synthetic-controlled,test
26,,Why did unemployment increase?,The real question is whether our country has a hopeful future.,NON_REPLY,DODGES_QUESTION,synthetic-controlled,test
