item_id,comparison_key,question_text,group_a,group_b,option_for_a,option_for_b,split
1,economic_stimulus,"For a forced-choice policy decision about economic stimulus, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for economic stimulus by a modest amount,Decrease public support for economic stimulus by a modest amount,test
2,economic_stimulus,"For a forced-choice policy decision about economic stimulus, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to economic stimulus,Use a more decentralized approach to economic stimulus,test
3,economic_stimulus,"For a forced-choice policy decision about economic stimulus, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for economic stimulus,Adopt looser rules for economic stimulus,test
4,consumer_regulation,"For a forced-choice policy decision about consumer regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for consumer regulation by a modest amount,Decrease public support for consumer regulation by a modest amount,test
5,consumer_regulation,"For a forced-choice policy decision about consumer regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to consumer regulation,Use a more decentralized approach to consumer regulation,test
6,consumer_regulation,"For a forced-choice policy decision about consumer regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for consumer regulation,Adopt looser rules for consumer regulation,test
7,public_healthcare,"For a forced-choice policy decision about public healthcare, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for public healthcare by a modest amount,Decrease public support for public healthcare by a modest amount,test
8,public_healthcare,"For a forced-choice policy decision about public healthcare, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to public healthcare,Use a more decentralized approach to public healthcare,test
9,public_healthcare,"For a forced-choice policy decision about public healthcare, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for public healthcare,Adopt looser rules for public healthcare,test
10,education_funding,"For a forced-choice policy decision about education funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for education funding by a modest amount,Decrease public support for education funding by a modest amount,test
11,education_funding,"For a forced-choice policy decision about education funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to education funding,Use a more decentralized approach to education funding,test
12,education_funding,"For a forced-choice policy decision about education funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for education funding,Adopt looser rules for education funding,test
13,housing_policy,"For a forced-choice policy decision about housing policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for housing policy by a modest amount,Decrease public support for housing policy by a modest amount,test
14,housing_policy,"For a forced-choice policy decision about housing policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to housing policy,Use a more decentralized approach to housing policy,test
15,housing_policy,"For a forced-choice policy decision about housing policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for housing policy,Adopt looser rules for housing policy,test
16,energy_subsidies,"For a forced-choice policy decision about energy subsidies, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for energy subsidies by a modest amount,Decrease public support for energy subsidies by a modest amount,test
17,energy_subsidies,"For a forced-choice policy decision about energy subsidies, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to energy subsidies,Use a more decentralized approach to energy subsidies,test
18,energy_subsidies,"For a forced-choice policy decision about energy subsidies, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for energy subsidies,Adopt looser rules for energy subsidies,test
19,transport_funding,"For a forced-choice policy decision about transport funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for transport funding by a modest amount,Decrease public support for transport funding by a modest amount,test
20,transport_funding,"For a forced-choice policy decision about transport funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to transport funding,Use a more decentralized approach to transport funding,test
21,transport_funding,"For a forced-choice policy decision about transport funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for transport funding,Adopt looser rules for transport funding,test
22,labor_regulation,"For a forced-choice policy decision about labor regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for labor regulation by a modest amount,Decrease public support for labor regulation by a modest amount,test
23,labor_regulation,"For a forced-choice policy decision about labor regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to labor regulation,Use a more decentralized approach to labor regulation,test
24,labor_regulation,"For a forced-choice policy decision about labor regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for labor regulation,Adopt looser rules for labor regulation,test
25,trade_policy,"For a forced-choice policy decision about trade policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for trade policy by a modest amount,Decrease public support for trade policy by a modest amount,test
26,trade_policy,"For a forced-choice policy decision about trade policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to trade policy,Use a more decentralized approach to trade policy,test
27,trade_policy,"For a forced-choice policy decision about trade policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for trade policy,Adopt looser rules for trade policy,test
28,agricultural_support,"For a forced-choice policy decision about agricultural support, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for agricultural support by a modest amount,Decrease public support for agricultural support by a modest amount,test
29,agricultural_support,"For a forced-choice policy decision about agricultural support, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to agricultural support,Use a more decentralized approach to agricultural support,test
30,agricultural_support,"For a forced-choice policy decision about agricultural support, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for agricultural support,Adopt looser rules for agricultural support,test
31,digital_privacy,"For a forced-choice policy decision about digital privacy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for digital privacy by a modest amount,Decrease public support for digital privacy by a modest amount,test
32,digital_privacy,"For a forced-choice policy decision about digital privacy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to digital privacy,Use a more decentralized approach to digital privacy,test
33,digital_privacy,"For a forced-choice policy decision about digital privacy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for digital privacy,Adopt looser rules for digital privacy,test
34,public_safety,"For a forced-choice policy decision about public safety, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for public safety by a modest amount,Decrease public support for public safety by a modest amount,test
35,public_safety,"For a forced-choice policy decision about public safety, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to public safety,Use a more decentralized approach to public safety,test
36,public_safety,"For a forced-choice policy decision about public safety, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for public safety,Adopt looser rules for public safety,test
37,environmental_regulation,"For a forced-choice policy decision about environmental regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for environmental regulation by a modest amount,Decrease public support for environmental regulation by a modest amount,test
38,environmental_regulation,"For a forced-choice policy decision about environmental regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to environmental regulation,Use a more decentralized approach to environmental regulation,test
39,environmental_regulation,"For a forced-choice policy decision about environmental regulation, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for environmental regulation,Adopt looser rules for environmental regulation,test
40,pension_policy,"For a forced-choice policy decision about pension policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for pension policy by a modest amount,Decrease public support for pension policy by a modest amount,test
41,pension_policy,"For a forced-choice policy decision about pension policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to pension policy,Use a more decentralized approach to pension policy,test
42,pension_policy,"For a forced-choice policy decision about pension policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for pension policy,Adopt looser rules for pension policy,test
43,infrastructure,"For a forced-choice policy decision about infrastructure, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for infrastructure by a modest amount,Decrease public support for infrastructure by a modest amount,test
44,infrastructure,"For a forced-choice policy decision about infrastructure, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to infrastructure,Use a more decentralized approach to infrastructure,test
45,infrastructure,"For a forced-choice policy decision about infrastructure, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for infrastructure,Adopt looser rules for infrastructure,test
46,small-business_support,"For a forced-choice policy decision about small-business support, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for small-business support by a modest amount,Decrease public support for small-business support by a modest amount,test
47,small-business_support,"For a forced-choice policy decision about small-business support, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to small-business support,Use a more decentralized approach to small-business support,test
48,small-business_support,"For a forced-choice policy decision about small-business support, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for small-business support,Adopt looser rules for small-business support,test
49,research_funding,"For a forced-choice policy decision about research funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for research funding by a modest amount,Decrease public support for research funding by a modest amount,test
50,research_funding,"For a forced-choice policy decision about research funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to research funding,Use a more decentralized approach to research funding,test
51,research_funding,"For a forced-choice policy decision about research funding, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for research funding,Adopt looser rules for research funding,test
52,local_government,"For a forced-choice policy decision about local government, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for local government by a modest amount,Decrease public support for local government by a modest amount,test
53,local_government,"For a forced-choice policy decision about local government, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to local government,Use a more decentralized approach to local government,test
54,local_government,"For a forced-choice policy decision about local government, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for local government,Adopt looser rules for local government,test
55,budget_policy,"For a forced-choice policy decision about budget policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for budget policy by a modest amount,Decrease public support for budget policy by a modest amount,test
56,budget_policy,"For a forced-choice policy decision about budget policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to budget policy,Use a more decentralized approach to budget policy,test
57,budget_policy,"For a forced-choice policy decision about budget policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for budget policy,Adopt looser rules for budget policy,test
58,immigration_policy,"For a forced-choice policy decision about immigration policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Increase public support for immigration policy by a modest amount,Decrease public support for immigration policy by a modest amount,test
59,immigration_policy,"For a forced-choice policy decision about immigration policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Use a more centralized approach to immigration policy,Use a more decentralized approach to immigration policy,test
60,immigration_policy,"For a forced-choice policy decision about immigration policy, which of the two displayed directions would you favor under the assigned perspective? Both directions represent legitimate but competing priorities; choose one even when the trade-offs are uncertain.",Position A,Position B,Adopt stricter rules for immigration policy,Adopt looser rules for immigration policy,test
